kPosicaox,kPosicaoy,kPosicaoz,SetPointx,SetPointy,SetPointz,Largura de Pulso x,Largura de Pulso y,Largura de Pulso z,Gyrox,Gyroy,Gyroz,Tempo
0.12810359922067002,-0.030343488692761957,0.22247702407362066,0.0,0.0,45.0,1140,1140,1140,7.251908396946565,-1.251908396946565,15.15267175572519,1540668457.745619
0.374817722081294,-0.20127972210542258,0.6873991988708414,0.0,0.0,45.0,1139,1140,1190,7.404580152671755,-5.251908396946565,16.702290076335878,1540668457.774887
0.24965337369547852,-0.4948419423598959,0.9548379174048929,0.0,0.0,45.0,1139,1140,1211,-6.00763358778626,-10.297709923664122,10.404580152671755,1540668457.801269
0.4324404109193199,-0.195820467292547,0.9702099858194398,0.0,0.0,45.0,1139,1140,1190,6.061068702290076,12.793893129770993,0.9389312977099237,1540668457.826288
0.27297737104812475,-0.16642902583524205,0.44059989001831945,0.0,0.0,45.0,1139,1140,1190,-7.8320610687022905,1.9770992366412214,-21.412213740458014,1540668457.847597
0.1652464453678115,-0.30656347454856686,0.4151061326851263,0.0,0.0,45.0,1139,1140,1190,-8.16030534351145,-8.16793893129771,-1.3053435114503817,1540668457.862841
0.29879720969491874,-0.3809348282397153,0.5765400009308717,0.0,0.0,45.0,1139,1140,1223,7.786259541984733,-4.282442748091603,11.290076335877863,1540668457.878993
0.3071420986571937,-0.22004122967080778,0.6588061373580525,0.0,0.0,45.0,1139,1140,1190,-0.816793893129771,9.86259541984733,4.969465648854962,1540668457.895372
0.19608987384868687,-0.10438996898023858,0.40603013419895717,0.0,0.0,45.0,1139,1140,1190,-8.435114503816793,8.213740458015268,-15.946564885496183,1540668457.911171
0.1525605018565486,-0.04895991674526215,0.19112138681246368,0.0,0.0,45.0,1139,1140,1190,-4.213740458015267,4.4961832061068705,-14.122137404580153,1540668457.925622
0.06486963252983705,0.02469266549883487,-0.0831782802836045,0.0,0.0,45.0,1139,1139,1190,-7.450381679389313,5.9465648854961835,-18.954198473282442,1540668457.940179
-0.004895046374492926,-0.05974007504432907,-0.29771113947310984,0.0,0.0,45.0,1139,1139,1190,-6.0,-4.931297709923665,-14.16793893129771,1540668457.954832
-0.06441868155167661,-0.15237874481247118,-0.4624299209708264,0.0,0.0,45.0,1140,1140,1190,-5.442748091603053,-5.694656488549619,-11.17557251908397,1540668457.969129
-0.12569437570270509,-0.26236932227627496,-0.5482717553615291,0.0,0.0,45.0,1140,1140,1190,-5.587786259541985,-6.9465648854961835,-5.702290076335878,1540668457.983646
-0.21659481023473207,-0.3585042887986929,-0.3858866972081686,0.0,0.0,45.0,1140,1140,1190,-7.488549618320611,-5.786259541984733,11.396946564885496,1540668457.999888
-0.21405732340514474,-0.08979996071889966,-0.4891182889672278,0.0,0.0,45.0,1140,1140,1190,-1.1526717557251909,15.13740458015267,-5.198473282442748,1540668458.017159
-0.21023328025047122,-0.302051082999714,-0.29521248838102226,0.0,0.0,45.0,1140,1140,1239,-1.0687022900763359,-11.419847328244275,11.458015267175572,1540668458.034551
-0.11631797686483089,-0.28911494906213564,-0.050937343000272674,0.0,0.0,45.0,1140,1140,1215,4.419847328244275,1.5572519083969465,15.16793893129771,1540668458.05083
-0.24709894588176082,-0.13663733319497298,-0.43625839037876746,0.0,0.0,45.0,1140,1140,1190,-8.916030534351146,9.664122137404581,-22.15267175572519,1540668458.068248
-0.08693706867568406,-0.23599363083764857,-0.21271100296860576,0.0,0.0,45.0,1140,1140,1234,7.916030534351145,-4.938931297709924,13.16793893129771,1540668458.08543
-0.1811487620984473,-0.15956960748245197,-0.412522628167407,0.0,0.0,45.0,1140,1140,1190,-6.755725190839694,5.206106870229007,-11.274809160305344,1540668458.102474
-0.19270768069858252,-0.32425249479049567,-0.39182683305138516,0.0,0.0,45.0,1140,1140,1190,-1.9618320610687023,-8.82442748091603,1.5267175572519085,1540668458.119664
-0.0203456954828048,-0.38870478677318393,-0.1720256342561742,0.0,0.0,45.0,1140,1140,1234,9.755725190839694,-3.3587786259541983,14.404580152671755,1540668458.135409
0.03257982403538797,-0.4696624860540218,0.11018888273932999,0.0,0.0,45.0,1140,1140,1234,2.2748091603053435,-4.679389312977099,19.3206106870229,1540668458.150032
-0.06286874633815236,-0.3017750777782359,-0.20223900141416265,0.0,0.0,45.0,1140,1140,1190,-6.717557251908397,10.320610687022901,-17.450381679389313,1540668458.167629
0.005891993568753133,-0.4334857148025893,-0.020594701435656285,0.0,0.0,45.0,1139,1140,1190,2.9160305343511452,-7.282442748091603,11.427480916030534,1540668458.18484
-0.06529970289690618,-0.22257348638555488,-0.13464592850074764,0.0,0.0,45.0,1140,1140,1190,-5.305343511450381,12.67175572519084,-6.114503816793893,1540668458.201673
-0.23210061475316654,-0.4075145053198127,-0.12647380114625736,0.0,0.0,45.0,1140,1140,1190,-11.099236641221374,-10.106870229007633,0.8015267175572519,1540668458.218697
-0.12496083713805932,-0.3392925027478044,0.11468470201663682,0.0,0.0,45.0,1140,1140,1239,5.0534351145038165,4.809160305343512,14.595419847328245,1540668458.235934
-0.2991424498661943,-0.0913961686389344,-0.19369079073826267,0.0,0.0,45.0,1140,1140,1190,-11.709923664122137,15.603053435114504,-18.129770992366414,1540668458.252476
-0.19085017731294895,-0.18485271699891095,0.05435897945412796,0.0,0.0,45.0,1140,1140,1235,5.106870229007634,-4.748091603053435,14.969465648854962,1540668458.269661
-0.08364555825603932,0.08304278764365444,0.2121529413917898,0.0,0.0,45.0,1140,1139,1190,5.282442748091603,17.19083969465649,9.992366412213741,1540668458.285926
-0.21843146124566987,0.060955823772372346,-0.12677914065272308,0.0,0.0,45.0,1140,1139,1190,-9.114503816793894,-0.5114503816793893,-19.358778625954198,1540668458.303062
-0.051581541573961866,0.07768286777241147,0.11589122637852582,0.0,0.0,45.0,1140,1139,1238,8.458015267175572,1.748091603053435,14.49618320610687,1540668458.320168
-0.17075269664882847,0.21421794944485573,-0.07936892481453114,0.0,0.0,45.0,1140,1139,1190,-8.244274809160306,8.740458015267176,-11.076335877862595,1540668458.337513
-0.18864320471505464,0.09831215477132299,-0.02797371533751401,0.0,0.0,45.0,1140,1139,1190,-2.351145038167939,-6.114503816793893,3.3740458015267176,1540668458.354099
-0.13162969393132568,0.20742687052016345,0.21589501458582055,0.0,0.0,45.0,1140,1139,1237,2.0381679389312977,7.137404580152672,14.549618320610687,1540668458.371374
-0.2586200073692702,0.3373757892097795,0.008545752421515647,0.0,0.0,45.0,1140,1139,1190,-9.404580152671755,9.076335877862595,-12.931297709923664,1540668458.387161
-0.2418631355372838,0.21095107800456875,0.11057280449706113,0.0,0.0,45.0,1140,1139,1190,-0.31297709923664124,-6.587786259541985,6.259541984732825,1540668458.404101
-0.14849013533790772,0.2640394784050307,0.40404434811570017,0.0,0.0,45.0,1140,1139,1210,4.458015267175573,4.038167938931298,18.38167938931298,1540668458.420502
