x,y,z,kx,ky,kz
-0.0594641100732,0.19563855827,0.0394304802824,-0.00226397275255,0.00650362314927,0.00120950786482
-0.0949169674318,0.222104474952,0.0381447870248,-0.0130840300302,0.0325570914198,0.00576374476976
-0.0735559978385,0.266193748446,0.124304499833,-0.0358413481258,0.112044083922,0.0411638044786
-0.00853414514505,0.358213131434,0.0486352101123,-0.0342960850936,0.260076042091,0.0584942034971
-0.0702261991315,0.371579767586,0.07799205763,-0.0597215685861,0.379267251642,0.0814532152072
-0.158438887832,0.503215030843,0.177075221049,-0.126121581866,0.514255422144,0.149897349959
-0.106557530013,0.555901966914,0.16695587045,-0.133640550503,0.607637274803,0.182029470837
0.0109864507693,0.586778894333,0.209417326916,-0.0615244901001,0.657836092252,0.219311484009
0.0759535379324,0.648280670216,0.151355524984,0.0270499543754,0.699501661325,0.198623257396
0.145631203419,0.578655639508,0.0843648717598,0.122214391116,0.659671326123,0.136890190167
0.0706954186473,0.648755518826,0.140105679423,0.126452763317,0.660617129927,0.129468686849
0.118541607107,0.574629442631,0.138733229218,0.146919845657,0.606028741606,0.124970286362
0.223075624265,0.570497769146,0.133097127689,0.213633337708,0.565984990666,0.120622901582
0.139587503123,0.548733839828,0.171141912647,0.193053584579,0.530085701751,0.143562526831
0.20030153453,0.57528298606,0.143728161423,0.208018987323,0.530140404359,0.142416394411
0.164890045711,0.566681179915,0.168693180226,0.188780190363,0.532010818444,0.157567463647
0.190722068416,0.557809966511,0.281132968976,0.188355591351,0.533938070537,0.23587606381
0.177114303736,0.566913107413,0.240548431326,0.177752079735,0.545684024231,0.256042111146
0.154877117015,0.549570987018,0.265490598802,0.157123495746,0.545632801463,0.277715186261
0.172141764824,0.497477181227,0.207233251471,0.156338947985,0.515571841004,0.24894271834
0.158745485524,0.445334989824,0.166468968264,0.149914631686,0.467222329857,0.201422978533
0.079706593898,0.388831850971,0.10386908916,0.0997931870374,0.406822026802,0.132791394518
0.118530751359,0.432728464006,0.142058562239,0.096654434303,0.403293162284,0.117632911906
0.144556234008,0.332411181601,0.118709525997,0.115721696691,0.346928255216,0.100281044428
0.196524469427,0.36764290197,0.113190608003,0.162834990094,0.341437983727,0.0926658289747
0.117351737379,0.367991402791,0.0682041246718,0.143550354926,0.346048844255,0.0663732009889
-0.0362204515376,0.40758108363,0.0669821178678,0.0362308080272,0.378945142504,0.0551519979008
-0.00606395799253,0.425286273169,0.0263620329189,-0.00838567249451,0.412782189191,0.0288063716273
-0.00650803658134,0.421135290461,0.00324383358991,-0.0286077657324,0.430270335232,0.003623125864
-0.076943124895,0.38634121266,-0.0373443862198,-0.0760419657097,0.416609340506,-0.0313434290439
-0.134307334047,0.333974741306,-0.0953563921241,-0.131803005159,0.372930031776,-0.0825752745174
-0.0342809388426,0.259844863731,-0.0964973693724,-0.0946791192621,0.299692426351,-0.107660431557
0.0307017662258,0.181340834528,-0.163350815118,-0.0236275952312,0.209662580458,-0.156283228335
-0.0182624209396,0.0722333322164,-0.265208367275,-0.00761690476932,0.0955045322961,-0.240519761862
-0.0318441884995,0.06812829797,-0.165860956036,-0.00815456555697,0.0363482888883,-0.220908599135
-0.0541342244762,0.0771230846613,-0.136501667757,-0.0251852353569,0.0223110480225,-0.180689134884
0.0505435684768,0.173573219401,-0.045906521373,0.0262702207083,0.0886029681415,-0.0949034565047
0.0675681061656,0.0687628554817,0.0183413183864,0.0652455128178,0.0751723222227,-0.00345965384975
0.154667026953,-0.044793910516,0.0518609135989,0.137050947023,0.00217617894212,0.0657956955598
0.171712327028,-0.0402162800992,0.0593713928078,0.183452048035,-0.0343966810979,0.100643078362
0.171088811739,0.0515466658558,0.163365719311,0.201070739165,0.00663890614098,0.172012339855
0.161800613607,0.0823027182598,0.192821219238,0.195801288129,0.0557315261112,0.219384510303
0.126470010976,0.0476403296581,0.152120343301,0.16258153764,0.0647866177933,0.20824581293
0.16514748214,0.113174338052,0.269128006633,0.161251550456,0.107841024339,0.260444418172
0.146897547945,0.170023851869,0.355507574527,0.147592627976,0.164678986658,0.335148843488
