Posicaox,Posicaoy,Posicaoz,SetPointx,SetPointy,SetPointz,Largura de Pulso x,Largura de Pulso y,Largura de Pulso z,Tempo
0.0,0.0,0.0,0.0,0.0,45.0,1090,1090,1380,1539540499.0584
0.0,0.0,0.0,0.0,0.0,45.0,1090,1090,1147,1539540499.10279
0.0,0.0,0.0894696900041482,0.0,0.0,45.0,1090,1090,1147,1539540499.14072
0.0,0.0,0.41351484402633376,0.0,0.0,45.0,1090,1090,1145,1539540499.178677
0.1837049790905518,0.0,0.9683449530964986,0.0,0.0,45.0,1089,1090,1143,1539540499.217719
0.6165145906266448,0.0,1.7079759032406305,0.0,0.0,45.0,1089,1090,1142,1539540499.256709
0.8890562944755372,0.0,2.5561918701922104,0.0,0.0,45.0,1089,1090,1140,1539540499.295785
1.2013734058506824,-0.12524318920480565,3.5824703007436147,0.0,0.0,45.0,1088,1090,1138,1539540499.335845
1.4942564491927195,-0.3178612926373421,4.77651896482202,0.0,0.0,45.0,1088,1090,1136,1539540499.375779
1.8304805235765236,-0.5282626623051467,5.951960350496974,0.0,0.0,45.0,1088,1090,1134,1539540499.415779
2.1561953560000005,-0.7664223073480154,7.040389618121925,0.0,0.0,45.0,1087,1090,1134,1539540499.455725
2.4388873128855373,-1.004333655301506,8.187803800214754,0.0,0.0,45.0,1087,1091,1132,1539540499.495896
2.6273884875028015,-1.1737000242106548,9.281668947203633,0.0,0.0,45.0,1087,1091,1131,1539540499.53578
2.6273884875028015,-1.1737000242106548,10.362089719447315,0.0,0.0,45.0,1087,1091,1129,1539540499.57524
2.6273884875028015,-1.1737000242106548,11.543380120164437,0.0,0.0,45.0,1087,1091,1127,1539540499.61486
2.411887291329524,-1.1737000242106548,12.85551176468192,0.0,0.0,45.0,1087,1091,1125,1539540499.654262
2.411887291329524,-1.3057707720878426,14.202613066190475,0.0,0.0,45.0,1087,1091,1123,1539540499.694074
2.5306997164343024,-1.3057707720878426,15.574721219699693,0.0,0.0,45.0,1087,1091,1121,1539540499.733919
2.6619468549730936,-1.4503779832141859,16.98696588212372,0.0,0.0,45.0,1087,1091,1119,1539540499.773428
2.6619468549730936,-1.6331300678037053,18.434325665571755,0.0,0.0,45.0,1087,1091,1117,1539540499.813273
2.8622026012868846,-1.743851208059481,19.93014628255265,0.0,0.0,45.0,1087,1091,1115,1539540499.852812
3.1447196582957337,-1.743851208059481,21.413853604186556,0.0,0.0,45.0,1086,1091,1113,1539540499.892589
3.3491876667578753,-1.743851208059481,22.972417166392642,0.0,0.0,45.0,1086,1091,1111,1539540499.932514
3.523652175100209,-1.743851208059481,24.59202177826107,0.0,0.0,45.0,1086,1091,1109,1539540499.971881
3.6990308885781387,-1.743851208059481,26.22501652682839,0.0,0.0,45.0,1086,1091,1106,1539540500.011675
3.9234300015591326,-1.743851208059481,27.88768371804693,0.0,0.0,45.0,1086,1091,1104,1539540500.051178
4.08325588809387,-1.743851208059481,29.501004012500747,0.0,0.0,45.0,1085,1091,1102,1539540500.090989
4.08325588809387,-1.882629206395018,31.069462335595677,0.0,0.0,45.0,1085,1091,1101,1539540500.130983
4.218232371238388,-2.066746065048185,32.60518463911931,0.0,0.0,45.0,1085,1092,1099,1539540500.171051
4.32452370082088,-2.2702199549603312,34.09953320771838,0.0,0.0,45.0,1085,1092,1097,1539540500.210751
4.32452370082088,-2.54347701693263,35.65856499206107,0.0,0.0,45.0,1085,1092,1095,1539540500.250641
4.521713899349323,-2.7995659747360047,37.212566269912536,0.0,0.0,45.0,1085,1092,1093,1539540500.290892
4.731838882190438,-2.984954799582763,38.72211473844852,0.0,0.0,45.0,1085,1092,1091,1539540500.330871
4.991482078053862,-3.1892301532775145,40.228701897660756,0.0,0.0,45.0,1090,1093,1000,1539540500.370648
5.204545952099788,-3.383281920299584,41.64096075345875,0.0,0.0,45.0,1090,1093,1000,1539540500.410181
5.489901432275929,-3.562996480464984,43.071417812428294,0.0,0.0,45.0,1090,1093,1000,1539540500.450018
5.670605889289697,-3.749463500713921,44.413235877565434,0.0,0.0,45.0,1090,1093,1000,1539540500.490032
5.917482897603716,-3.900700891845095,45.75165109319784,0.0,0.0,45.0,1090,1093,1000,1539540500.529467
6.179015551405835,-4.059181304532169,47.046737744115084,0.0,0.0,45.0,1090,1094,1000,1539540500.569352
6.3047888875063105,-4.242121892633847,48.27822097997855,0.0,0.0,45.0,1090,1094,1000,1539540500.609309
6.582929456086142,-4.509110838205533,49.517600587242946,0.0,0.0,45.0,1090,1094,1000,1539540500.648765
6.9341227344596845,-4.752746904233317,50.72757927571754,0.0,0.0,45.0,1090,1094,1000,1539540500.688842
7.2479609261216105,-4.956150996796683,51.83606273383498,0.0,0.0,45.0,1090,1094,1000,1539540500.728613
7.414803523870116,-5.202074702704145,53.0293847130388,0.0,0.0,45.0,1090,1095,1000,1539540500.768117
7.562733694303716,-5.382749266062635,54.142325152726954,0.0,0.0,45.0,1090,1095,1000,1539540500.807978
7.668644462890709,-5.561097961499415,55.26513163698387,0.0,0.0,45.0,1090,1095,1000,1539540500.847886
7.668644462890709,-5.765476296670194,56.354178903525145,0.0,0.0,45.0,1090,1095,1000,1539540500.887265
7.877388942767663,-5.927632183700595,57.391411465574826,0.0,0.0,45.0,1090,1095,1000,1539540500.926981
8.110715073019096,-5.927632183700595,58.34789427427255,0.0,0.0,45.0,1090,1095,1000,1539540500.966335
8.110715073019096,-6.042092988240993,59.08254749558621,0.0,0.0,45.0,1090,1096,1000,1539540501.006119
