kPosicaox,kPosicaoy,kPosicaoz,SetPointx,SetPointy,SetPointz,Largura de Pulso x,Largura de Pulso y,Largura de Pulso z,Gyrox,Gyroy,Gyroz,Tempo
-0.0007082613006006972,-0.1612122498922732,0.12227708460506052,0.0,0.0,45.0,1128,1128,1175,-1.549618320610687,-9.748091603053435,7.343511450381679,1541643710.378075
0.22567225616713735,0.048703354533618,-0.25824410617008525,0.0,0.0,45.0,1128,1128,1220,6.236641221374046,8.17557251908397,-13.816793893129772,1541643710.409467
0.4426076765847444,-0.018221243218123486,-0.848839131900649,0.0,0.0,45.0,1127,1128,1220,6.290076335877862,-1.4045801526717556,-22.022900763358777,1541643710.437015
0.5738268173416421,-0.15681328087995652,-1.1720727259470771,0.0,0.0,45.0,1127,1128,1221,3.267175572519084,-4.038167938931298,-12.557251908396946,1541643710.463866
0.42738398326613036,-0.34396015689917914,-0.8529692064148116,0.0,0.0,45.0,1127,1128,1220,-7.152671755725191,-6.221374045801527,11.50381679389313,1541643710.489747
0.2882864492845409,-0.5009998886705871,-1.1436312193853393,0.0,0.0,45.0,1127,1128,1221,-6.931297709923665,-5.129770992366412,-12.15267175572519,1541643710.513421
0.39668477875537395,-0.5958963968144142,-1.257249200314863,0.0,0.0,45.0,1127,1128,1221,4.251908396946565,-4.038167938931298,-6.8396946564885495,1541643710.530938
0.39958463208709255,-0.5511640889485865,-1.1445559574596256,0.0,0.0,45.0,1127,1128,1221,-1.3435114503816794,3.450381679389313,5.366412213740458,1541643710.548738
0.5397372459460937,-0.3337695448221408,-1.4385655804244017,0.0,0.0,45.0,1127,1128,1221,5.717557251908397,12.198473282442748,-15.954198473282442,1541643710.567837
0.5386888250107981,-0.4373778607489124,-1.1516761774007618,0.0,0.0,45.0,1127,1128,1221,-1.5648854961832062,-5.175572519083969,16.290076335877863,1541643710.584672
0.5973532477862347,-0.34682257676787603,-1.2820228269544525,0.0,0.0,45.0,1127,1128,1221,1.8854961832061068,6.229007633587786,-8.335877862595419,1541643710.601992
0.46970944660349323,-0.2841464829673902,-1.1067500089316396,0.0,0.0,45.0,1127,1128,1221,-9.16793893129771,4.763358778625954,9.717557251908397,1541643710.618769
0.3506049859608764,-0.18187909706127955,-1.1247683735264347,0.0,0.0,45.0,1127,1128,1221,-7.66412213740458,6.290076335877862,-1.7404580152671756,1541643710.638919
0.4506690706290795,-0.1160382043433788,-1.1484286927053244,0.0,0.0,45.0,1127,1128,1221,4.183206106870229,4.740458015267175,-2.1526717557251906,1541643710.656612
0.4116696456840607,-0.29826702733926946,-1.2102654436846334,0.0,0.0,45.0,1127,1128,1221,-3.717557251908397,-9.351145038167939,-4.320610687022901,1541643710.673343
0.5165551115535482,-0.4128738811533126,-1.5274438588463304,0.0,0.0,45.0,1127,1128,1221,4.106870229007634,-5.129770992366412,-17.770992366412212,1541643710.692369
0.6607433720605234,-0.555387046973845,-1.1873251259931374,0.0,0.0,45.0,1127,1128,1221,6.969465648854962,-7.374045801526718,19.17557251908397,1541643710.709382
0.7783863671899826,-0.6707061592016613,-1.4330640188476544,0.0,0.0,45.0,1127,1128,1221,5.412213740458015,-5.778625954198473,-15.251908396946565,1541643710.727476
0.8397651594909745,-0.7902360897313332,-1.0993312869435248,0.0,0.0,45.0,1127,1129,1221,1.7938931297709924,-5.419847328244275,17.114503816793892,1541643710.745343
0.7737919926140132,-0.6805377496821384,-1.186690401758713,0.0,0.0,45.0,1127,1128,1221,-5.221374045801527,7.183206106870229,-5.732824427480916,1541643710.763753
0.798739580244842,-0.6932204204721248,-1.0840535501313522,0.0,0.0,45.0,1127,1128,1221,-0.12213740458015267,0.29770992366412213,4.870229007633588,1541643710.781318
0.6732392731366686,-0.7536488806616405,-0.8035486348186391,0.0,0.0,45.0,1127,1129,1220,-8.17557251908397,-2.213740458015267,14.106870229007633,1541643710.800144
0.5488751018128484,-0.7556437696012842,-0.9974262109154225,0.0,0.0,45.0,1127,1129,1220,-8.603053435114504,0.8854961832061069,-11.877862595419847,1541643710.818023
0.6139141346309168,-0.8714811829755332,-0.7001019716959372,0.0,0.0,45.0,1127,1129,1220,1.9389312977099236,-5.129770992366412,14.923664122137405,1541643710.836043
0.5576574871217123,-0.9795715296625629,-0.9341632158683503,0.0,0.0,45.0,1127,1129,1220,-4.847328244274809,-5.427480916030534,-14.725190839694656,1541643710.852557
0.6253169420309678,-1.0310840582321041,-1.0793563995384376,0.0,0.0,45.0,1127,1129,1221,2.236641221374046,-1.8473282442748091,-8.83206106870229,1541643710.871831
0.6480974199352706,-1.055623151395298,-0.730724001346865,0.0,0.0,45.0,1127,1129,1220,-0.3053435114503817,-0.2900763358778626,17.51145038167939,1541643710.889874
0.8305939942671453,-0.9877251379252701,-0.9910813432366987,0.0,0.0,45.0,1127,1129,1220,9.435114503816793,5.068702290076335,-16.412213740458014,1541643710.908426
1.0263881700162691,-0.9442615475458652,-0.6234689642903251,0.0,0.0,45.0,1127,1129,1220,8.954198473282442,3.3206106870229006,18.82442748091603,1541643710.926736
1.0126567309735504,-0.959810825362727,-0.5266952540521772,0.0,0.0,45.0,1127,1129,1220,-2.236641221374046,0.16793893129770993,4.366412213740458,1541643710.94446
1.1482653547754975,-0.9595329326611431,-0.560385071355586,0.0,0.0,45.0,1127,1129,1220,6.244274809160306,1.015267175572519,-2.732824427480916,1541643710.96252
1.2063282473949695,-1.1269490834799207,-0.1512956606454339,0.0,0.0,45.0,1127,1129,1220,1.5419847328244274,-7.778625954198473,20.641221374045802,1541643710.980541
