Posicaox,Posicaoy,Posicaoz,kPosicaox,kPosicaoy,kPosicaoz,SetPointx,SetPointy,SetPointz,Largura de Pulso x,Largura de Pulso y,Largura de Pulso z,Gyrox,Gyroy,Gyroz,Tempo
-742.2149408307373,-103.04511545727223,91.41170323876383,-7.34866278050235,-1.0202486678937845,0.9050663687006321,0.0,0.0,0.0,1112,1106,1104,-14.633587786259541,-1.0763358778625953,1.8549618320610688,1540432581.78558
-742.1487960209922,-102.79502758867068,92.04860822493045,-30.40971373861214,-4.214359905451553,3.7655256530230763,0.0,0.0,0.0,1120,1109,1101,-0.8396946564885496,2.8473282442748094,5.534351145038168,1540432581.869796
-741.3065390527414,-102.80810303747104,92.61043538340972,-117.69204645315783,-16.31745111690094,14.663282904444038,0.0,0.0,0.0,1120,1120,1090,8.366412213740459,0.6106870229007634,6.732824427480916,1540432581.946256
-741.7485833362742,-103.24962058691509,92.97660155303234,-340.70652587857523,-47.35078515552665,42.613275770463055,0.0,0.0,0.0,1120,1120,1062,-7.221374045801527,-5.061068702290076,5.0534351145038165,1540432582.021494
-742.9462832784557,-103.87973202972205,92.52986677284593,-627.9527457590058,-87.56498268087081,78.3741791896877,0.0,0.0,0.0,1120,1120,1026,-17.3206106870229,-7.6183206106870225,-5.717557251908397,1540432582.096452
-744.0043205943542,-103.4925333453919,92.05754330358482,-822.2822738285595,-114.54117220429504,102.18510384177199,0.0,0.0,0.0,1120,1120,1090,-15.641221374045802,5.977099236641221,-6.137404580152672,1540432582.161997
-743.8616664733422,-103.72693583760494,92.7536610744654,-900.8563056410959,-125.55696585696296,112.10302980977319,0.0,0.0,0.0,1120,1120,1090,0.7404580152671756,-2.7404580152671754,10.625954198473282,1540432582.228859
-742.5900658169027,-102.92363113396712,93.40862568062444,-903.8361712028152,-125.64335303866883,113.05536745658648,0.0,0.0,0.0,1120,1120,1090,17.61832061068702,12.770992366412214,10.01526717557252,1540432582.295103
-742.8266306650019,-102.98185319413211,93.96952685010982,-866.680448921197,-120.27635035805042,109.10630108332747,0.0,0.0,0.0,1120,1120,1090,-5.015267175572519,-0.1297709923664122,8.816793893129772,1540432582.362532
-743.1969928535285,-103.16523377851398,93.63759316395904,-814.4384294635026,-112.97841951159653,102.75145537920952,0.0,0.0,0.0,1120,1120,1090,-6.938931297709924,-1.984732824427481,-4.748091603053435,1540432582.428696
-744.4034390460836,-103.63403141557549,93.0351612508962,-765.4634276818427,-106.35213101764194,96.21593635590006,0.0,0.0,0.0,1120,1120,1090,-19.206106870229007,-6.1603053435114505,-8.67175572519084,1540432582.495029
-745.1613525053654,-103.82833452241704,93.03648718571252,-729.1340630231936,-101.48303694925106,91.31206130761339,0.0,0.0,0.0,1120,1120,1090,-12.969465648854962,-2.2061068702290076,0.24427480916030533,1540432582.562069
-743.8291844346882,-103.02010115019579,93.34982154180858,-706.9317993010447,-98.12491576986594,88.59691896199706,0.0,0.0,0.0,1120,1120,1016,18.427480916030536,12.786259541984732,4.885496183206107,1540432582.637721
-743.2055377194334,-102.62873590711523,93.9126203095399,-698.1796025012577,-96.5530170280333,87.94039548137636,0.0,0.0,0.0,1120,1120,1017,6.870229007633588,5.9465648854961835,7.679389312977099,1540432582.712755
-743.822869003979,-103.09375542302092,93.42153714517691,-700.2121173405162,-96.86883673431021,88.10896801438312,0.0,0.0,0.0,1120,1120,1016,-9.618320610687023,-5.435114503816794,-6.320610687022901,1540432582.788025
