kPosicaox,kPosicaoy,kPosicaoz,SetPointx,SetPointy,SetPointz,Largura de Pulso x,Largura de Pulso y,Largura de Pulso z,Gyrox,Gyroy,Gyroz,Tempo
0.051060466762545324,-0.18265494651216518,0.12205243442760887,0.0,0.0,45.0,1135,1135,1190,1.702290076335878,-11.122137404580153,7.404580152671755,1541644160.124762
0.11533451472314668,-0.39656788483467054,0.8398270016371115,0.0,0.0,45.0,1135,1135,1290,0.6106870229007634,-6.641221374045801,25.091603053435115,1541644160.153293
-0.03286137367018968,-0.595829320072791,0.6631416388313183,0.0,0.0,45.0,1135,1135,1280,-7.419847328244275,-6.633587786259542,-7.549618320610687,1541644160.179128
0.1014591171836584,-0.6187015483207271,0.5104521497864067,0.0,0.0,45.0,1135,1135,1279,4.0,0.08396946564885496,-7.213740458015267,1541644160.202758
-0.09587912654720065,-0.4383417592051188,0.03283315324152326,0.0,0.0,45.0,1135,1135,1290,-9.709923664122137,8.374045801526718,-20.114503816793892,1541644160.227452
-0.07303885748106016,-0.4387482441481322,-0.400097867602779,0.0,0.0,45.0,1135,1135,1290,-0.7633587786259542,1.0381679389312977,-18.519083969465647,1541644160.25166
0.2144096737587283,-0.1163396385380578,-0.9295407827724006,0.0,0.0,45.0,1135,1135,1290,10.404580152671755,14.633587786259541,-23.03053435114504,1541644160.273021
0.06067091262167363,-0.23030193833267407,-1.1961561757072303,0.0,0.0,45.0,1135,1135,1290,-10.549618320610687,-5.5038167938931295,-16.076335877862597,1541644160.289633
0.037540738689936626,-0.26873257077160956,-0.9160165436319069,0.0,0.0,45.0,1135,1135,1223,-3.0763358778625953,-1.2290076335877862,15.916030534351146,1541644160.30629
0.30652833385727457,-0.27487877827060414,-0.48338644001979336,0.0,0.0,45.0,1135,1135,1199,14.396946564885496,0.6870229007633588,25.16030534351145,1541644160.323
0.29796740794933824,-0.14322815223164165,-0.20596183973147586,0.0,0.0,45.0,1135,1135,1222,-2.2213740458015265,9.045801526717558,16.106870229007633,1541644160.339598
0.16511467086139583,-0.24932208974672168,-0.4216980635904663,0.0,0.0,45.0,1135,1135,1290,-9.618320610687023,-5.267175572519084,-13.587786259541986,1541644160.356292
0.4199206087605949,-0.10699394686383043,-0.7704950490663979,0.0,0.0,45.0,1135,1135,1290,13.65648854961832,9.633587786259541,-21.755725190839694,1541644160.372903
